Variety,Shape,Sieve,Aroma,Flavor,Aftertaste,Acidity,Body,Uniformity,Balance,clean cup,Sweetness,Taster´s score,Final score
CR,MI,13,6.75,6.75,6.75,6.75,6.75,10.0,6.75,10,10,7.0,77.5
CR,MI,13,6.25,6.25,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.5
CR,MI,13,7.25,6.25,6.25,6.0,6.5,10.0,6.25,10,10,6.25,74.75
CR,MI,13,6.75,6.5,6.5,6.5,6.25,10.0,6.5,10,10,6.5,75.5
CR,MI,13,7.25,7.5,7.5,7.0,7.0,10.0,7.25,10,10,7.25,80.75
CR,MI,13,7.5,7.25,6.25,6.25,6.5,10.0,7.0,10,10,7.0,77.75
CR,MI,13,6.5,7.0,7.0,6.75,6.75,10.0,6.75,10,10,7.0,77.75
CR,MI,14,7.25,7.0,7.0,7.25,7.25,10.0,7.0,10,10,7.0,79.75
CR,MI,14,7.0,7.25,7.25,7.25,7.0,10.0,7.25,10,10,7.25,80.25
CR,MI,14,6.25,6.25,6.25,6.0,6.0,10.0,6.0,10,10,6.0,72.75
CR,MI,14,7.0,7.25,7.0,7.25,7.25,10.0,7.25,10,10,7.5,80.5
CR,MI,14,7.75,7.0,6.5,6.75,6.5,10.0,7.0,10,10,7.0,78.5
CR,MI,14,6.5,7.0,6.5,6.5,6.5,10.0,6.5,10,10,6.5,76.0
CR,MI,14,7.0,7.0,7.25,7.25,7.25,10.0,7.0,10,10,7.0,79.75
CR,MI,14,7.0,6.75,6.75,6.5,7.0,10.0,6.5,10,10,7.0,77.5
CR,MI,15,7.0,6.75,6.75,6.5,6.5,10.0,6.5,10,10,6.0,76.0
CR,MI,15,7.0,6.25,6.25,6.0,6.25,10.0,6.25,10,10,6.25,74.25
CR,MI,15,6.75,6.5,6.5,6.25,6.0,10.0,6.25,10,10,6.0,74.25
CR,MI,15,7.25,7.0,7.0,7.0,6.5,10.0,7.0,10,10,7.0,78.75
CR,MI,15,6.75,6.5,6.5,6.25,6.25,10.0,6.25,10,10,6.25,74.75
CR,MI,15,7.5,7.0,7.0,7.25,7.0,10.0,7.0,10,10,7.0,79.75
CR,MI,15,7.25,6.5,6.5,7.0,6.25,10.0,7.0,10,10,7.0,77.5
CR,MI,15,7.5,7.0,7.0,7.0,7.0,10.0,7.0,10,10,7.0,79.5
CR,MI,15,6.75,6.5,6.5,7.0,6.5,10.0,6.5,10,10,6.5,76.25
CR,FL,14,6.0,6.5,6.5,6.0,6.25,10.0,6.25,10,10,6.5,74.0
CR,FL,15,6.0,6.5,6.0,6.5,6.25,10.0,6.0,10,10,6.25,73.5
CR,FL,15,6.25,6.5,6.25,6.25,6.25,10.0,6.25,10,10,6.25,74.0
CR,FL,15,6.5,6.75,6.5,7.0,6.5,10.0,6.5,10,10,6.5,76.25
CR,FL,15,6.5,6.75,6.5,7.0,6.5,10.0,6.5,10,10,6.5,76.25
CR,FL,15,6.5,6.5,6.25,6.25,6.5,10.0,6.5,10,10,6.5,75.0
